stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
222131,,вул. Лінкольна,49.866683,24.041653,222131,0,,0
222132,,вул. Лінкольна,49.866535,24.041680,222132,0,,0
222138,,вул. Збиральна,49.822864,23.918706,222138,0,,0
222140,,смт Брюховичі (вул. Смолиста),49.894742,23.946623,222140,0,,0
222141,,вул. Медової Печери,49.826379,24.073639,222141,0,,0
222142,,вул. Коломийська - вул. Трильовського,49.787540,24.066249,222142,0,,0
222144,,пр. Червоної Калини,49.785090,24.059930,222144,0,,0
222145,,вул. Малковицька,49.873871,23.951539,222145,0,,0
222146,,вул. Малковицька,49.873780,23.951053,222146,0,,0
222147,,на вимогу,49.871434,23.964518,222147,0,,0
222148,,на вимогу,49.871496,23.963684,222148,0,,0
222149,,Приміський вокзал,49.836400,23.997864,222149,0,,0
222150,,Приміський вокзал,49.836389,23.997518,222150,0,,0
222152,,с. Сулимів,49.964089,24.160687,222152,0,,0
222153,,вул. Академіка Сахарова,49.831792,24.017192,222153,0,222153_station,0
222154,,Львівська політехніка,49.834599,24.016065,222154,0,222154_station,0
222155,,вул. Степана Бандери,49.834527,24.016543,222155,0,222155_station,0
222156,,Львівська політехніка,49.834392,24.016049,222156,0,222156_station,0
222158,,вул. Котика,49.837431,24.059667,222158,0,222158_station,0
222159,,Приміський вокзал,49.837702,24.000206,222159,0,222159_station,0
222161,,на вимогу,49.809386,23.988374,222161,0,,0
222163,,смт Брюховичі (вул. Смолиста),49.895094,23.946089,222163,0,,0
222164,,на вимогу,49.914007,23.965395,222164,0,,0
222165,,на вимогу,49.776775,24.013860,222165,0,,0
222166,,на вимогу,49.813998,23.981451,222166,0,,0
222167,,на вимогу,49.814033,23.981000,222167,0,,0
222168,,на вимогу,49.800471,24.040698,222168,0,,0
222169,,вул. Городоцька - вул. Кульпарківська,49.834017,23.990679,222169,0,,0
222170,,на вимогу,49.783808,24.013426,222170,0,,0
222174,,Винники (вул. Ломоносова),49.809337,24.120371,222174,0,,0
222175,,Винники (вул. Козацька),49.802752,24.129316,222175,0,,0
222176,,Винники вул. Козацька,49.802503,24.129667,222176,0,,0
222177,,на вимогу,49.805851,24.120770,222177,0,,0
222178,,на вимогу,49.805837,24.120947,222178,0,,0
222179,,Винники вул. Забава,49.802359,24.135005,222179,0,,0
222180,,на вимогу,49.808119,23.837127,222180,0,,0
222181,,на вимогу,49.808077,23.838208,222181,0,,0
222184,,с. Керниця,49.782598,23.761926,222184,0,,0
222185,,с. Керниця (Центр),49.782324,23.745672,222185,0,,0
222186,,с. Керниця (Центр),49.782237,23.746133,222186,0,,0
222187,,на вимогу,49.782248,23.742152,222187,0,,0
222188,,на вимогу,49.782424,23.741911,222188,0,,0
222189,,на вимогу,49.822231,23.983616,222189,0,,0
222190,,на вимогу,49.822324,23.983630,222190,0,,0
222192,,пр. В`ячеслава Чорновола,49.845381,24.025083,222192,0,,0
222195,,вул. Коломийська,49.788075,24.061081,222195,0,,0
222196,,вул. Київська,49.832422,24.012146,222196,0,,0
222197,,"ТЦ ""Три Слони""",49.830983,23.907006,222197,0,,0
222202,,с. Пісочна,49.455501,23.955498,222202,0,,0
222203,,с. Миколаїв,49.523396,23.965747,222203,0,,0
222205,,"ТРЦ ""Скриня""",49.835405,23.994664,222205,0,,0
222206,,"ТРЦ ""Скриня""",49.835497,23.994843,222206,0,,0
222209,,Привокзальний ринок,49.836464,23.999341,222209,0,222209_station,0
222210,,Привокзальний ринок,49.836125,23.999374,222210,0,222210_station,0
222216,,вул. Городоцька,49.843212,24.022808,222216,0,,0
222217,,вул. Лесі Українки,49.839814,23.886884,222217,0,,0
222218,,вул. Лесі Українки,49.839868,23.887378,222218,0,,0
222219,,Рудне,49.836445,23.878347,222219,0,,0
222222,,вул. Володимира Великого,49.835837,23.875922,222222,0,,0
222224,,на вимогу,49.837394,23.884918,222224,0,,0
222225,,Народний дім,49.837061,23.873232,222225,0,,0
222226,,Народний дім,49.837204,23.873366,222226,0,,0
222227,,Духовна Семінарія,49.842587,23.860593,222227,0,,0
222228,,вул. Шевченка,49.840278,23.865531,222228,0,,0
222229,,вул. Шевченка,49.840418,23.865499,222229,0,,0
222230,,вул. Лисенка,49.838642,23.864153,222230,0,,0
222231,,вул. Лисенка,49.838294,23.863713,222231,0,,0
222232,,на вимогу,49.838015,23.868377,222232,0,,0
222233,,на вимогу,49.838133,23.868088,222233,0,,0
222234,,вул. Володимира Великого,49.835927,23.876164,222234,0,,0
222235,,"ТЦ ""Магнус""",49.844025,24.024273,222235,0,,0
222236,,Дитячий диспансер,49.877443,24.004258,222236,0,,0
